added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,duration_ms,time_signature,playlist_name,playlist_description
2021-03-13T15:01:00Z,NU,1,"[['Djonga', '204IwDdaHE4ymGk9Kya2pY'], ['Nagalli', '6TPJK8tv3AKKSsw0lENTQk'], ['Coyote Beatz', '2PhFsxtwCQLS3e9SJwDN3j']]",Nós,67,0.705,0.816,10,-5.195,0,0.5379999999999999,0.0969,0.0,0.0822,0.583,86.77,audio_features,193800,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Mds,1,"[['Kawe', '1TYJOhNSxMOODWiDVhuyZb'], ['Mc Lele JP', '1mV9h1AwhRXSjBFcYpajgY']]",Mds,84,0.885,0.561,6,-5.331,1,0.249,0.261,0.0,0.121,0.644,140.02,audio_features,125143,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Para todas as mulheres que já rimei,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['Borges', '6jBww4kwlSrjaNYP7AQPtX'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Quase uma Semana,73,0.8140000000000001,0.768,1,-5.702999999999999,0,0.078,0.10400000000000001,0.0,0.0646,0.8,122.05799999999999,audio_features,259672,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Nada é pra sempre,1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C']]",Nada é pra sempre,62,0.721,0.48200000000000004,0,-10.247,1,0.0768,0.192,0.0,0.0537,0.37,95.055,audio_features,229928,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Lance Criminoso (feat. BK),1,"[['Papatinho', '0iZz25uH5PLaShpqq84uYv'], ['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['MC Cabelinho', '1WQBwwssN6r8DSjUlkyUGW'], ['BK', '1YOVBTvznjiDvtAj4ExHeo']]",Lance Criminoso (feat. BK),65,0.574,0.654,0,-6.696000000000001,0,0.478,0.27,0.0,0.115,0.6940000000000001,81.336,audio_features,234098,5,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Poesia Acústica 10: Recomeçar,1,"[['Pineapple StormTv', '09U6hmCerKcIJrixubiBjm'], ['MC Cabelinho', '1WQBwwssN6r8DSjUlkyUGW'], ['Orochi', '3rfM2cGqF6DB0kUyytMkXx'], ['JayA Luuck', '4oxFgud0qa3A1tE6JFpFVp'], ['Pk', '5xYkM2vMrE23taj6tl7qkm'], ['Black', '2UzbrOSDiSjcLFN8wZ4bz2'], ['Delacruz', '1MzXJ8AaHdidMAnjgcahS4'], ['BK', '1YOVBTvznjiDvtAj4ExHeo'], ['Ludmilla', '3CDoRporvSjdzTrm99a3gi'], ['Salve Malak', '7zxFc10N9BP2lg73b8cwZ0']]",Poesia Acústica 10: Recomeçar,73,0.7390000000000001,0.636,8,-5.975,1,0.0737,0.257,0.0,0.175,0.442,142.055,audio_features,682817,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Máquina do Tempo,5,"[['Matuê', '5nP8x4uEFjAAmDzwOEc9b8']]",777-666,75,0.544,0.802,10,-4.534,0,0.326,0.0534,0.0,0.139,0.322,179.924,audio_features,164000,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Oclin e Evoque,1,"[['Tropa do Bruxo', '4s3lxX76LwxzMdQEAFYdzv'], ['Djonga', '204IwDdaHE4ymGk9Kya2pY'], ['MC Rick', '1mvpEXClANunyiHFtAXCxt'], ['Sidoka', '7EyzyrMNgqiK8bMrbkOT9l']]",Oclin e Evoque,67,0.899,0.698,0,-4.788,1,0.076,0.0010400000000000001,0.0,0.0715,0.457,105.01799999999999,audio_features,212582,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Chuck Berry,1,"[['Black Alien', '6aCbXH85qN6xo54C7atSMx']]",Chuck Berry,59,0.8859999999999999,0.63,1,-6.297999999999999,0,0.33299999999999996,0.225,8.97e-05,0.08900000000000001,0.836,88.09200000000001,audio_features,170627,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,Praya,1,"[['JayA Luuck', '4oxFgud0qa3A1tE6JFpFVp'], ['Predella', '3lMQtpA4i6FrIe6DmDfDVa'], ['Pedro Lotto', '23ot0eI6ByBW6LrlBfr2bm'], ['Paiva Prod', '1T0F05F7TEo6QYr4vtGJdb'], ['White Monkey Recordings', '4aOhi7PfTjBW439bBhH0J4']]",Praya,60,0.9329999999999999,0.662,9,-8.096,0,0.0997,0.27399999999999997,0.0,0.0845,0.872,122.06200000000001,audio_features,165973,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
2021-03-13T15:01:00Z,De 90 pra Cá,1,"[['Kawe', '1TYJOhNSxMOODWiDVhuyZb'], ['Dexter', '76IyGPd3y2mBZCljGcke0x'], ['Elenko Week', '7i5nEmcVfMqh6hm0wVadrw']]",De 90 pra Cá,63,0.7290000000000001,0.6829999999999999,11,-5.694,0,0.226,0.706,3.81e-05,0.14,0.736,107.72,audio_features,217778,4,RAPública,Ouça o melhor do hip hop nacional. Foto: Djonga
