added_at,album_name,track_number,artists,name,popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,duration_ms,time_signature,playlist_name,playlist_description
2022-06-10 03:01:00+00:00,Poesia Acústica 11: Nada Mudou,1,"[['Pineapple StormTv', '09U6hmCerKcIJrixubiBjm'], ['Azzy', '1uf8uSErmKc3JVtmjVBZ83'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY'], ['Chris MC', '0obu7Om4zu9ahul5DI4JtY'], ['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['Lourena', '3jLj1sAQaEpLpktyJmyGIh'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Cynthia Luz', '0QHGCPmM4UgeNvrNPntSlu'], ['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Salve Malak', '7zxFc10N9BP2lg73b8cwZ0'], ['Hunter', '20yao3GcKuVqdY7S6MAj0n']]",Poesia Acústica 11: Nada Mudou,71,0.725,0.622,7,-5.573,0,0.0438,0.579,0.0,0.144,0.356,119.985,600000,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,A Cara do Crime 2 (Cansou de Playboy),1,"[['Mc Poze do Rodo', '28ie4NNTa2VW2QV4Zray8M'], ['Bielzin', '2vWGxqWbGgmgxVDZ5CBvBP'], ['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['MC Cabelinho', '1WQBwwssN6r8DSjUlkyUGW'], ['Neo Beats', '6PERJZF7wohA034PAxDK0b'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd']]",A Cara do Crime 2 (Cansou de Playboy),72,0.736,0.647,10,-2.843,0,0.324,0.233,0.0,0.198,0.5,85.126,265412,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,"Faça Dinheiro, Se Mantenha Vivo",1,"[['LEALL', '4h52MPCFvx56uhmH254Uqz'], ['KOPO', '3vSHkuSE00R9QBkm5SByaA']]","Faça Dinheiro, Se Mantenha Vivo",63,0.515,0.544,11,-5.741,0,0.458,0.727,0.0,0.147,0.283,51.612,138919,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Auxílio Emergencial do Rap,1,"[['Coruja Bc1', '6mw0OyFqwxCOmz1v3W3htO']]",Auxílio Emergencial do Rap,45,0.807,0.637,10,-10.415,0,0.424,0.0435,0.0,0.0653,0.846,92.178,220435,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Imaterial (Deluxe),1,"[['Filipe Ret', '7gJN8W0589FisSYJS17K54'], ['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Chris Beats Zn', '0YOr5sV4zMMyj5xviWiFjW']]",Corte Americano,74,0.728,0.665,5,-5.519,0,0.0595,0.555,0.0,0.14,0.473,129.055,139535,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Outro Patamar,1,"[['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['Mc Lipi', '0cjkWe9VXcECGiOEHFuTfc']]",Outro Patamar,65,0.837,0.577,3,-5.853,0,0.207,0.235,0.0,0.0753,0.564,129.944,225067,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Paraiso de Kant,1,"[['Kant', '5RHWqLCNmcKFDME3G7sxiJ']]",Paraiso de Kant,49,0.914,0.578,7,-8.417,1,0.346,0.746,0.0,0.0841,0.571,94.965,148158,3,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,A Divina Comédia 2,1,"[['Rap Box', '5FEcNzwbLj2pvhgZFojYAp'], ['Fabio Brazza', '0Ludmn78UAusTsNCXgICrN'], ['Léo Casa 1', '5CLH6SMhWas8Ed7W9YZjJD'], ['Gigante No Mic', '5NjusDYM3H7nGyjgDOtLNX'], ['Mano Fler', '0bjKeFBcvURoPaJiGd0Kfx'], ['Zeus', '5kgI1wqNVu9xTVu6yO4nQG']]",A Divina Comédia 2,47,0.704,0.936,10,-2.582,0,0.318,0.257,0.0,0.257,0.742,93.36,319992,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Playboy,1,"[['Krawk', '7a99I3BHPvsv4aBVNqb4g4'], ['Hungria Hip Hop', '0vLuOi2k62sHujIfplInlK'], ['André Nine', '5cc7XCY3YdVmFDYw9LklMq']]",PLAYBOY,59,0.751,0.44,5,-8.77,1,0.0795,0.251,0.0,0.115,0.367,140.073,203143,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Nathalina,1,"[['Kant', '5RHWqLCNmcKFDME3G7sxiJ'], ['Spinardi', '5rohxv1cRfQwpG8W9uxSle'], ['JG', '4H0H0ZdeSMxAMrYhWHUogD'], ['Savage TV', '69bnICoeTmnTXMXzR0HV60']]",Nathalina,45,0.548,0.721,11,-6.755,0,0.331,0.01,0.0,0.201,0.548,95.039,240274,4,AULAS,black alien é AULAS
2022-06-10 03:01:00+00:00,Pique Peaky Blinders,1,"[['Black Alien', '6aCbXH85qN6xo54C7atSMx']]",Pique Peaky Blinders,54,0.685,0.671,9,-4.886,1,0.32,0.166,0.0,0.709,0.753,169.957,185605,4,AULAS,black alien é AULAS
