,added_at,album_name,track_number,artists,name,popularity,track_id,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature,playlist_name
26,2021-03-13T15:01:00Z,Modo Trapaça,1,"[['Kawe', '1TYJOhNSxMOODWiDVhuyZb']]",Modo Trapaça,62,3OAOGZwWMzP24qefZmPYWR,0.856,0.72,8,-6.618,1,0.0464,0.191,7.3e-06,0.194,0.45,110.015,audio_features,3OAOGZwWMzP24qefZmPYWR,spotify:track:3OAOGZwWMzP24qefZmPYWR,https://api.spotify.com/v1/tracks/3OAOGZwWMzP24qefZmPYWR,https://api.spotify.com/v1/audio-analysis/3OAOGZwWMzP24qefZmPYWR,192000,4,RAPública
27,2021-03-13T15:01:00Z,Perfume,1,"[['Konai', '12YpLBd0FvDYA0c4nsaxFp'], ['kamaitachi', '1ISc8zhrqxd5WrJMkMMLSm'], ['Pineapple StormTv', '09U6hmCerKcIJrixubiBjm']]",Perfume,62,4ZREaPhlA5mqZMFTSQBfzw,0.558,0.247,2,-10.607,0,0.0545,0.888,0.0,0.188,0.669,85.445,audio_features,4ZREaPhlA5mqZMFTSQBfzw,spotify:track:4ZREaPhlA5mqZMFTSQBfzw,https://api.spotify.com/v1/tracks/4ZREaPhlA5mqZMFTSQBfzw,https://api.spotify.com/v1/audio-analysis/4ZREaPhlA5mqZMFTSQBfzw,204088,4,RAPública
28,2021-03-13T15:01:00Z,Acende o Isqueiro,1,"[['Orochi', '3rfM2cGqF6DB0kUyytMkXx'], ['Kizzy', '2NMYOlZHIEsSq7pp5jBjic']]",Acende o Isqueiro,65,1DdEU9f7uXklMx6Dm0Mdwq,0.48,0.565,8,-9.954,0,0.375,0.38,0.0,0.096,0.806,112.988,audio_features,1DdEU9f7uXklMx6Dm0Mdwq,spotify:track:1DdEU9f7uXklMx6Dm0Mdwq,https://api.spotify.com/v1/tracks/1DdEU9f7uXklMx6Dm0Mdwq,https://api.spotify.com/v1/audio-analysis/1DdEU9f7uXklMx6Dm0Mdwq,207529,5,RAPública
29,2021-03-13T15:01:00Z,GRIFF,5,"[['WC no Beat', '2QjS2N6sORI7H4qbf6xitS'], ['MC G15', '3Nipsl6GVwwGyeAk0J29C6'], ['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['POCAH', '11iQCRz636WFdHj42qxAF6']]",ROLÉ NO RIO,51,1g5yPr4WMRcRcxi86Khs4M,0.7,0.826,4,-4.688,0,0.157,0.191,0.0,0.0978,0.333,138.039,audio_features,1g5yPr4WMRcRcxi86Khs4M,spotify:track:1g5yPr4WMRcRcxi86Khs4M,https://api.spotify.com/v1/tracks/1g5yPr4WMRcRcxi86Khs4M,https://api.spotify.com/v1/audio-analysis/1g5yPr4WMRcRcxi86Khs4M,203495,4,RAPública
30,2021-03-13T15:01:00Z,Berenice (Papasessions #6) [feat. CALIFFA],1,"[['L7NNON', '0JjPiLQNgAFaEkwoy56B1C'], ['Dfideliz', '0oNOkdVXXFaWC9tPb7Ol10'], ['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['CALIFFA', '1PSbZri8ZpIcScw1WFMzjD']]",Berenice (Papasessions #6) [feat. CALIFFA],67,58TLpLev8A4GFCUizxpF7T,0.705,0.363,7,-10.788,0,0.362,0.725,0.0,0.092,0.862,160.144,audio_features,58TLpLev8A4GFCUizxpF7T,spotify:track:58TLpLev8A4GFCUizxpF7T,https://api.spotify.com/v1/tracks/58TLpLev8A4GFCUizxpF7T,https://api.spotify.com/v1/audio-analysis/58TLpLev8A4GFCUizxpF7T,301547,4,RAPública
31,2021-03-13T15:01:00Z,Bora Ser,1,"[['Pineapple StormTv', '09U6hmCerKcIJrixubiBjm'], ['Filipe Ret', '7gJN8W0589FisSYJS17K54'], ['Chris MC', '0obu7Om4zu9ahul5DI4JtY'], ['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['2Nunaip', '4qeiAh3nfvR4odsDr3bISi']]",Bora Ser,55,4nJ8ZmUAGopgJ4getE1o4z,0.637,0.764,7,-5.763,1,0.0818,0.111,1.31e-06,0.0815,0.549,191.83,audio_features,4nJ8ZmUAGopgJ4getE1o4z,spotify:track:4nJ8ZmUAGopgJ4getE1o4z,https://api.spotify.com/v1/tracks/4nJ8ZmUAGopgJ4getE1o4z,https://api.spotify.com/v1/audio-analysis/4nJ8ZmUAGopgJ4getE1o4z,205000,4,RAPública
32,2021-03-13T15:01:00Z,Histórias da Minha Área,1,"[['Djonga', '204IwDdaHE4ymGk9Kya2pY'], ['Bia Nogueira', '337gunwEwXj6BjKbSo3Uo6']]",O Cara de Óculos (prod. Coyote Beatz),60,1chg0t03u3PDcYwABCYWKG,0.738,0.784,0,-4.787,1,0.135,0.00237,0.0,0.126,0.354,125.021,audio_features,1chg0t03u3PDcYwABCYWKG,spotify:track:1chg0t03u3PDcYwABCYWKG,https://api.spotify.com/v1/tracks/1chg0t03u3PDcYwABCYWKG,https://api.spotify.com/v1/audio-analysis/1chg0t03u3PDcYwABCYWKG,250016,4,RAPública
33,2021-03-13T15:01:00Z,Saturno,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Ajaxx', '0y7B2G0jNMGWyQJsOoRMUt']]",Saturno,80,68cPbG7hJnwDW9nPX1uQcX,0.694,0.551,5,-5.929,1,0.0485,0.704,0.0,0.1,0.908,95.003,audio_features,68cPbG7hJnwDW9nPX1uQcX,spotify:track:68cPbG7hJnwDW9nPX1uQcX,https://api.spotify.com/v1/tracks/68cPbG7hJnwDW9nPX1uQcX,https://api.spotify.com/v1/audio-analysis/68cPbG7hJnwDW9nPX1uQcX,186947,4,RAPública
34,2021-03-13T15:01:00Z,O Iluminado,2,"[['Xamã', '5YwzDz4RJfTiMHS4tdR5Lf'], ['CMK', '6QmnOxsr8M6iD5Zqpb2src'], ['Orochi', '3rfM2cGqF6DB0kUyytMkXx']]",American Pie,59,1PZUD6jjtYsOUC9vDjdJHK,0.583,0.468,9,-8.794,0,0.339,0.334,0.0,0.1,0.322,130.002,audio_features,1PZUD6jjtYsOUC9vDjdJHK,spotify:track:1PZUD6jjtYsOUC9vDjdJHK,https://api.spotify.com/v1/tracks/1PZUD6jjtYsOUC9vDjdJHK,https://api.spotify.com/v1/audio-analysis/1PZUD6jjtYsOUC9vDjdJHK,179077,4,RAPública
35,2021-03-13T15:01:00Z,Vergonha pra Midia,1,"[['Salvador Da Rima', '3zUcyANWSbo98ikca4ugrV'], ['NOG', '1QAoT8rjnSPy5pXpu3yiHS'], ['Mc Kevin', '5pBMkZNIlbGTH3hrsQJqAa'], ['MC Ryan SP', '75i9GaW2MJUgt4BkdUnuUY'], ['Mc Lele JP', '1mV9h1AwhRXSjBFcYpajgY']]",Vergonha pra Midia,69,5JsxHA8NttHWThpTCToK1J,0.814,0.671,0,-6.813,1,0.297,0.219,0.0,0.0736,0.593,83.944,audio_features,5JsxHA8NttHWThpTCToK1J,spotify:track:5JsxHA8NttHWThpTCToK1J,https://api.spotify.com/v1/tracks/5JsxHA8NttHWThpTCToK1J,https://api.spotify.com/v1/audio-analysis/5JsxHA8NttHWThpTCToK1J,385357,4,RAPública
36,2021-03-13T15:01:00Z,Marília Mendonça,1,"[['BIN', '1WXbiUMl1AT9Inb619xPUg'], ['Mainstreet', '25XJqeReVV38w0tR04GGBd'], ['Mãolee', '72aE07MxpePfCELo4vGZcK']]",Marília Mendonça,67,1CBjYXLotHrkiykMbI7EaU,0.633,0.631,4,-6.847,0,0.296,0.3,0.0,0.1,0.512,139.755,audio_features,1CBjYXLotHrkiykMbI7EaU,spotify:track:1CBjYXLotHrkiykMbI7EaU,https://api.spotify.com/v1/tracks/1CBjYXLotHrkiykMbI7EaU,https://api.spotify.com/v1/audio-analysis/1CBjYXLotHrkiykMbI7EaU,113519,4,RAPública
37,2021-03-13T15:01:00Z,Merci £,2,"[['Sidoka', '7EyzyrMNgqiK8bMrbkOT9l']]",Qq cê tá insinuando,62,7ICkpwQdejZF5uo71TuYSP,0.816,0.55,3,-7.418,0,0.446,0.121,0.0,0.107,0.452,119.973,audio_features,7ICkpwQdejZF5uo71TuYSP,spotify:track:7ICkpwQdejZF5uo71TuYSP,https://api.spotify.com/v1/tracks/7ICkpwQdejZF5uo71TuYSP,https://api.spotify.com/v1/audio-analysis/7ICkpwQdejZF5uo71TuYSP,176200,4,RAPública
38,2021-03-13T15:01:00Z,O Líder em Movimento,1,"[['BK', '1YOVBTvznjiDvtAj4ExHeo']]",Movimento,56,1ZjeSBSlwwddWUTa982kBA,0.714,0.553,4,-7.77,0,0.0712,0.293,0.0,0.205,0.22,102.02,audio_features,1ZjeSBSlwwddWUTa982kBA,spotify:track:1ZjeSBSlwwddWUTa982kBA,https://api.spotify.com/v1/tracks/1ZjeSBSlwwddWUTa982kBA,https://api.spotify.com/v1/audio-analysis/1ZjeSBSlwwddWUTa982kBA,215152,4,RAPública
39,2021-03-13T15:01:00Z,Não Tem Bacanal na Quarentena,3,"[['Baco Exu do Blues', '78nr1pVnDR7qZH6QbVMYZf'], ['Muse Maya', '3aHNIgKMKMb0hmklcLXxkm']]",Ela É Gostosa Pra Caralho,60,2SkP3MIByz26LEAAQjauhl,0.662,0.48,10,-10.411,0,0.0474,0.168,0.0,0.109,0.187,114.959,audio_features,2SkP3MIByz26LEAAQjauhl,spotify:track:2SkP3MIByz26LEAAQjauhl,https://api.spotify.com/v1/tracks/2SkP3MIByz26LEAAQjauhl,https://api.spotify.com/v1/audio-analysis/2SkP3MIByz26LEAAQjauhl,183214,4,RAPública
40,2021-03-13T15:01:00Z,Favela Vive 4,1,"[['ADL', '6Ywb1no2hXLazjIs4LUiQD'], ['MC Cabelinho', '1WQBwwssN6r8DSjUlkyUGW'], ['Kmila Cdd', '5pTtdzoyljdOQnTLVULZvv'], ['Orochi', '3rfM2cGqF6DB0kUyytMkXx'], ['César Mc', '19JY4BpaJkAlSR4iDxB1MX'], ['Edi Rock', '2fYAyTS2erZgqEHKHYqgi2']]",Favela Vive 4,55,3gi7gH8JbG0QdBM4Suf3lr,0.498,0.498,8,-8.809,1,0.424,0.42,0.0,0.101,0.367,76.093,audio_features,3gi7gH8JbG0QdBM4Suf3lr,spotify:track:3gi7gH8JbG0QdBM4Suf3lr,https://api.spotify.com/v1/tracks/3gi7gH8JbG0QdBM4Suf3lr,https://api.spotify.com/v1/audio-analysis/3gi7gH8JbG0QdBM4Suf3lr,759036,1,RAPública
